Country Name,GDP Per Capita Current USD (10Y AVG)
Serbia,7594.261319098566
Sub-Saharan Africa (excluding high income),1650.548857099999
South Sudan,1325.35595437083
Sub-Saharan Africa,1651.898368717859
Small states,12208.392374166962
Sao Tome and Principe,1851.4029915993729
Suriname,6747.4533510845
Slovak Republic,19406.58932039642
Slovenia,25590.139991417727
Sweden,55621.662187750095
Eswatini,3807.044733164749
Sint Maarten (Dutch part),34636.246195390944
Seychelles,16458.410040043254
Syrian Arab Republic,849.195227128149
Turks and Caicos Islands,25239.276185246246
Chad,754.3052202513594
East Asia & Pacific (IDA & IBRD countries),7945.946766938275
Europe & Central Asia (IDA & IBRD countries),9564.668223291063
Togo,872.7446701907098
Thailand,6615.810538686903
Tajikistan,956.637509994992
Turkmenistan,7338.773293554535
Latin America & the Caribbean (IDA & IBRD countries),9048.105329861019
Timor-Leste,1604.4566378694237
Middle East & North Africa (IDA & IBRD countries),3862.869457086117
Tonga,4403.9452407701565
South Asia (IDA & IBRD),1856.644991647874
Sub-Saharan Africa (IDA & IBRD countries),1651.898368717859
Trinidad and Tobago,17363.872532833935
Tunisia,3809.392145373955
Turkiye,10753.225986384232
Tuvalu,4417.162956469921
Tanzania,1048.5297851562516
Uganda,856.9718029979266
Ukraine,3576.186390269888
Upper middle income,8509.799444864113
Uruguay,18429.231154914607
United States,64304.30934853061
Uzbekistan,2213.459365404444
St. Vincent and the Grenadines,8247.284487807898
"Venezuela, RB",14204.85508033795
British Virgin Islands,
Virgin Islands (U.S.),36558.281157607744
Viet Nam,3264.0630757192034
Vanuatu,2974.251328408649
World,11334.93525304169
Samoa,4057.9000311255422
Kosovo,4410.228006439185
"Yemen, Rep.",940.4732910640221
South Africa,6608.855771835462
Zambia,1389.1647107107203
Zimbabwe,1540.59334862755
